property_id,check_in_date,room_category,successful_bookings,capacity,occupancy
16558,2022-05-01,RT2,21,22,95.45454545
16558,2022-05-01,RT3,8,8,100
16558,2022-05-01,RT4,3,3,100
16558,2022-05-01,RT1,18,19,94.73684211
16558,2022-05-02,RT4,2,3,66.66666667
16558,2022-05-02,RT1,12,19,63.15789474
16558,2022-05-02,RT2,14,22,63.63636364
16558,2022-05-02,RT3,5,8,62.5
16558,2022-05-03,RT3,5,8,62.5
16558,2022-05-03,RT4,2,3,66.66666667
16558,2022-05-03,RT1,14,19,73.68421053
16558,2022-05-03,RT2,14,22,63.63636364
16558,2022-05-04,RT2,14,22,63.63636364
16558,2022-05-04,RT4,2,3,66.66666667
16558,2022-05-04,RT3,6,8,75
16558,2022-05-04,RT1,13,19,68.42105263
16558,2022-05-05,RT2,13,22,59.09090909
16558,2022-05-05,RT3,4,8,50
16558,2022-05-05,RT1,12,19,63.15789474
16558,2022-05-05,RT4,2,3,66.66666667
16558,2022-05-06,RT3,5,8,62.5
16558,2022-05-06,RT1,10,19,52.63157895
16558,2022-05-06,RT2,15,22,68.18181818
16558,2022-05-06,RT4,2,3,66.66666667
16558,2022-05-07,RT2,18,22,81.81818182
16558,2022-05-07,RT4,3,3,100
16558,2022-05-07,RT3,7,8,87.5
16558,2022-05-07,RT1,17,19,89.47368421
16558,2022-05-08,RT3,8,8,100
16558,2022-05-08,RT1,18,19,94.73684211
16558,2022-05-08,RT2,20,22,90.90909091
16558,2022-05-08,RT4,3,3,100
16558,2022-05-09,RT1,11,19,57.89473684
16558,2022-05-09,RT3,5,8,62.5
16558,2022-05-09,RT2,14,22,63.63636364
16558,2022-05-09,RT4,2,3,66.66666667
16558,2022-05-10,RT4,2,3,66.66666667
16558,2022-05-10,RT1,10,19,52.63157895
16558,2022-05-10,RT3,4,8,50
16558,2022-05-10,RT2,12,22,54.54545455
16558,2022-05-11,RT1,12,19,63.15789474
16558,2022-05-11,RT2,13,22,59.09090909
16558,2022-05-11,RT4,2,3,66.66666667
16558,2022-05-11,RT3,5,8,62.5
16558,2022-05-12,RT2,12,22,54.54545455
16558,2022-05-12,RT4,2,3,66.66666667
16558,2022-05-12,RT3,4,8,50
16558,2022-05-12,RT1,11,19,57.89473684
16558,2022-05-13,RT3,5,8,62.5
16558,2022-05-13,RT2,14,22,63.63636364
16558,2022-05-13,RT1,12,19,63.15789474
16558,2022-05-13,RT4,2,3,66.66666667
16558,2022-05-14,RT4,3,3,100
16558,2022-05-14,RT1,18,19,94.73684211
16558,2022-05-14,RT3,7,8,87.5
16558,2022-05-14,RT2,20,22,90.90909091
16558,2022-05-15,RT3,5,8,62.5
16558,2022-05-15,RT4,2,3,66.66666667
16558,2022-05-15,RT2,15,22,68.18181818
16558,2022-05-15,RT1,14,19,73.68421053
16558,2022-05-16,RT4,2,3,66.66666667
16558,2022-05-16,RT3,4,8,50
16558,2022-05-16,RT1,9,19,47.36842105
16558,2022-05-16,RT2,12,22,54.54545455
16558,2022-05-17,RT1,10,19,52.63157895
16558,2022-05-17,RT2,12,22,54.54545455
16558,2022-05-17,RT3,4,8,50
16558,2022-05-17,RT4,2,3,66.66666667
16558,2022-05-18,RT1,8,19,42.10526316
16558,2022-05-18,RT4,2,3,66.66666667
16558,2022-05-18,RT3,3,8,37.5
16558,2022-05-18,RT2,10,22,45.45454545
16558,2022-05-19,RT4,2,3,66.66666667
16558,2022-05-19,RT3,4,8,50
16558,2022-05-19,RT2,12,22,54.54545455
16558,2022-05-19,RT1,12,19,63.15789474
16558,2022-05-20,RT1,9,19,47.36842105
16558,2022-05-20,RT3,4,8,50
16558,2022-05-20,RT4,2,3,66.66666667
16558,2022-05-20,RT2,11,22,50
16558,2022-05-21,RT1,13,19,68.42105263
16558,2022-05-21,RT3,5,8,62.5
16558,2022-05-21,RT4,2,3,66.66666667
16558,2022-05-21,RT2,16,22,72.72727273
16558,2022-05-22,RT2,20,22,90.90909091
16558,2022-05-22,RT1,17,19,89.47368421
16558,2022-05-22,RT4,3,3,100
16558,2022-05-22,RT3,7,8,87.5
16558,2022-05-23,RT3,4,8,50
16558,2022-05-23,RT4,2,3,66.66666667
16558,2022-05-23,RT1,13,19,68.42105263
16558,2022-05-23,RT2,14,22,63.63636364
16558,2022-05-24,RT3,5,8,62.5
16558,2022-05-24,RT4,2,3,66.66666667
16558,2022-05-24,RT2,14,22,63.63636364
16558,2022-05-24,RT1,11,19,57.89473684
16558,2022-05-25,RT1,13,19,68.42105263
16558,2022-05-25,RT3,5,8,62.5
16558,2022-05-25,RT2,13,22,59.09090909
16558,2022-05-25,RT4,2,3,66.66666667
16558,2022-05-26,RT3,5,8,62.5
16558,2022-05-26,RT1,12,19,63.15789474
16558,2022-05-26,RT2,15,22,68.18181818
16558,2022-05-26,RT4,2,3,66.66666667
16558,2022-05-27,RT3,5,8,62.5
16558,2022-05-27,RT4,2,3,66.66666667
16558,2022-05-27,RT2,13,22,59.09090909
16558,2022-05-27,RT1,12,19,63.15789474
16558,2022-05-28,RT4,3,3,100
16558,2022-05-28,RT3,8,8,100
16558,2022-05-28,RT1,17,19,89.47368421
16558,2022-05-28,RT2,19,22,86.36363636
16558,2022-05-29,RT1,14,19,73.68421053
16558,2022-05-29,RT4,3,3,100
16558,2022-05-29,RT2,16,22,72.72727273
16558,2022-05-29,RT3,7,8,87.5
16558,2022-05-30,RT1,10,19,52.63157895
16558,2022-05-30,RT4,2,3,66.66666667
16558,2022-05-30,RT2,11,22,50
16558,2022-05-30,RT3,4,8,50
16558,2022-05-31,RT4,2,3,66.66666667
16558,2022-05-31,RT3,4,8,50
16558,2022-05-31,RT2,12,22,54.54545455
16558,2022-05-31,RT1,10,19,52.63157895
16558,2022-06-01,RT1,9,19,47.36842105
16558,2022-06-01,RT4,2,3,66.66666667
16558,2022-06-01,RT2,9,22,40.90909091
16558,2022-06-01,RT3,4,8,50
16558,2022-06-02,RT4,2,3,66.66666667
16558,2022-06-02,RT2,10,22,45.45454545
16558,2022-06-02,RT3,4,8,50
